polity,violent_successions,total_successions,violent_rate,civil_wars
Aztec Empire,2,9,0.222,1
Byzantine Empire,29,71,0.408,11
China (Ming),2,17,0.118,2
China (Qing),0,11,0.000,3
China (Tang),5,22,0.227,3
Denmark,5,44,0.114,2
England/Britain,8,40,0.200,4
Ethiopia,8,27,0.296,5
France,4,38,0.105,8
Holy Roman Empire,5,43,0.116,4
Inca Empire,3,12,0.250,2
Islamic Caliphate,18,52,0.346,7
Japan (Emperors),5,96,0.052,4
Khmer Empire,6,20,0.300,3
Korea (Joseon),4,28,0.143,2
Mamluk Sultanate,15,27,0.556,3
Mughal Empire,5,15,0.333,6
Ottoman Empire,12,38,0.316,5
Papacy (post-1000),4,121,0.033,0
Persia/Iran,5,22,0.227,4
Poland,3,32,0.094,4
Portugal,3,31,0.097,3
Roman Empire,32,55,0.582,12
Russia,7,25,0.280,3
Scotland,11,40,0.275,3
Spain,2,18,0.111,3
Sweden,2,23,0.087,1
USA (Presidents),4,42,0.095,1
Venice (Doges),5,83,0.060,0
